match_id,date,team,goals,xg,goals_c,xg_c
987830,30th Jan 2019,SOU,1,1.23,1,1.08
987831,30th Jan 2019,TOT,2,1.75,1,0.50
987831,30th Jan 2019,WAT,1,0.50,2,1.75
987832,2nd Feb 2019,BHA,0,1.63,0,0.28
987832,2nd Feb 2019,WAT,0,0.28,0,1.63
987833,2nd Feb 2019,BUR,1,2.39,1,0.74
987833,2nd Feb 2019,SOU,1,0.74,1,2.39
987834,2nd Feb 2019,BOU,0,0.51,2,2.07
987834,2nd Feb 2019,CAR,2,2.07,0,0.51
987835,2nd Feb 2019,CHE,5,2.60,0,0.28
987835,2nd Feb 2019,HUD,0,0.28,5,2.60
987836,2nd Feb 2019,CRY,2,2.26,0,0.60
987836,2nd Feb 2019,FUL,0,0.60,2,2.26
987837,2nd Feb 2019,EVE,1,1.20,3,1.44
987837,2nd Feb 2019,WOL,3,1.44,1,1.20
987838,3rd Feb 2019,LEI,0,1.46,1,1.26
987838,3rd Feb 2019,MUN,1,1.26,0,1.46
987839,3rd Feb 2019,ARS,1,0.67,3,2.65
987839,3rd Feb 2019,MCI,3,2.65,1,0.67
987840,2nd Feb 2019,NEW,0,0.42,1,2.28
987840,2nd Feb 2019,TOT,1,2.28,0,0.42
987841,4th Feb 2019,LIV,1,1.11,1,0.80
987841,4th Feb 2019,WHU,1,0.80,1,1.11
987842,9th Feb 2019,BHA,1,1.16,3,2.07
987842,9th Feb 2019,BUR,3,2.07,1,1.16
987843,9th Feb 2019,CRY,1,2.66,1,1.67
987843,9th Feb 2019,WHU,1,1.67,1,2.66
987844,9th Feb 2019,FUL,0,2.28,3,1.90
987844,9th Feb 2019,MUN,3,1.90,0,2.28
987845,9th Feb 2019,ARS,2,1.37,1,1.63
987845,9th Feb 2019,HUD,1,1.63,2,1.37
987846,9th Feb 2019,BOU,0,0.43,3,2.02
987846,9th Feb 2019,LIV,3,2.02,0,0.43
987847,10th Feb 2019,CHE,0,0.87,6,3.06
987847,10th Feb 2019,MCI,6,3.06,0,0.87
987848,9th Feb 2019,CAR,2,0.84,1,1.57
987848,9th Feb 2019,SOU,1,1.57,2,0.84
987849,10th Feb 2019,LEI,1,3.35,3,1.08
987849,10th Feb 2019,TOT,3,1.08,1,3.35
987850,9th Feb 2019,EVE,0,0.72,1,1.28
987850,9th Feb 2019,WAT,1,1.28,0,0.72
987851,11th Feb 2019,NEW,1,0.43,1,2.40
987851,11th Feb 2019,WOL,1,2.40,1,0.43
987852,23rd Feb 2019,BOU,1,2.38,1,1.53
987852,23rd Feb 2019,WOL,1,1.53,1,2.38
987853,24th Feb 2019,ARS,2,2.16,0,0.82
987853,24th Feb 2019,SOU,0,0.82,2,2.16
987854,23rd Feb 2019,BUR,2,1.31,1,0.89
987854,23rd Feb 2019,TOT,1,0.89,2,1.31
987855,22nd Feb 2019,CAR,1,1.96,5,2.11
987855,22nd Feb 2019,WAT,5,2.11,1,1.96
987856,3rd Apr 2019,BHA,0,0.41,3,2.69
987856,3rd Apr 2019,CHE,3,2.69,0,0.41
987857,6th Feb 2019,EVE,0,0.13,2,2.29
987857,6th Feb 2019,MCI,2,2.29,0,0.13
987858,23rd Feb 2019,CRY,4,1.75,1,1.19
987858,23rd Feb 2019,LEI,1,1.19,4,1.75
987859,24th Feb 2019,LIV,0,0.47,0,0.33
987859,24th Feb 2019,MUN,0,0.33,0,0.47
987860,23rd Feb 2019,HUD,0,0.16,2,2.82
987860,23rd Feb 2019,NEW,2,2.82,0,0.16
987861,22nd Feb 2019,FUL,1,1.30,3,2.85
987861,22nd Feb 2019,WHU,3,2.85,1,1.30
987862,27th Feb 2019,ARS,5,2.48,1,0.91
987862,27th Feb 2019,BOU,1,0.91,5,2.48
987863,26th Feb 2019,CAR,0,0.34,3,0.97
987863,26th Feb 2019,EVE,3,0.97,0,0.34
987864,27th Feb 2019,CRY,1,1.71,3,0.98
987864,27th Feb 2019,MUN,3,0.98,1,1.71
987865,26th Feb 2019,HUD,1,1.59,0,0.60
987865,26th Feb 2019,WOL,0,0.60,1,1.59
987866,26th Feb 2019,BHA,1,1.25,2,1.76
987866,26th Feb 2019,LEI,2,1.76,1,1.25
987867,27th Feb 2019,CHE,2,0.82,0,0.79
987867,27th Feb 2019,TOT,0,0.79,2,0.82
987868,27th Feb 2019,LIV,5,1.96,0,0.34
987868,27th Feb 2019,WAT,0,0.34,5,1.96
987869,27th Feb 2019,MCI,1,3.53,0,0.35
987869,27th Feb 2019,WHU,0,0.35,1,3.53
987870,26th Feb 2019,BUR,0,1.64,2,1.38
987870,26th Feb 2019,NEW,2,1.38,0,1.64
987871,27th Feb 2019,FUL,0,0.82,2,1.34
987871,27th Feb 2019,SOU,2,1.34,0,0.82
987872,2nd Mar 2019,BOU,0,0.00,1,1.21
987872,2nd Mar 2019,MCI,1,1.21,0,0.00
987873,2nd Mar 2019,BHA,1,1.17,0,0.23
987873,2nd Mar 2019,HUD,0,0.23,1,1.17
987874,2nd Mar 2019,BUR,1,2.17,3,0.49
987874,2nd Mar 2019,CRY,3,0.49,1,2.17
987875,3rd Mar 2019,EVE,0,0.34,0,1.11
987875,3rd Mar 2019,LIV,0,1.11,0,0.34
987876,3rd Mar 2019,CHE,2,1.23,1,0.78
987876,3rd Mar 2019,FUL,1,0.78,2,1.23
987877,2nd Mar 2019,MUN,3,2.23,2,0.43
987877,2nd Mar 2019,SOU,2,0.43,3,2.23
987878,2nd Mar 2019,ARS,1,2.57,1,1.60
987878,2nd Mar 2019,TOT,1,1.60,1,2.57
987879,3rd Mar 2019,LEI,1,0.94,2,0.87
987879,3rd Mar 2019,WAT,2,0.87,1,0.94
987880,2nd Mar 2019,NEW,0,1.11,2,1.96
987880,2nd Mar 2019,WHU,2,1.96,0,1.11
987881,2nd Mar 2019,CAR,0,0.59,2,2.86
987881,2nd Mar 2019,WOL,2,2.86,0,0.59
987882,10th Mar 2019,ARS,2,1.70,0,2.35
987882,10th Mar 2019,MUN,0,2.35,2,1.70
987883,9th Mar 2019,CAR,2,3.52,0,0.34
987883,9th Mar 2019,WHU,0,0.34,2,3.52
987884,10th Mar 2019,CHE,1,1.11,1,0.54
987884,10th Mar 2019,WOL,1,0.54,1,1.11
987885,9th Mar 2019,BHA,2,0.16,1,1.52
987885,9th Mar 2019,CRY,1,1.52,2,0.16
987886,9th Mar 2019,BOU,2,1.89,0,0.35
987886,9th Mar 2019,HUD,0,0.35,2,1.89
987887,9th Mar 2019,FUL,1,0.22,3,2.04
987887,9th Mar 2019,LEI,3,2.04,1,0.22
987888,10th Mar 2019,BUR,2,0.44,4,4.03
987888,10th Mar 2019,LIV,4,4.03,2,0.44
987889,9th Mar 2019,MCI,3,3.60,1,0.17
987889,9th Mar 2019,WAT,1,0.17,3,3.60
987890,9th Mar 2019,EVE,2,1.10,3,2.47
987890,9th Mar 2019,NEW,3,2.47,2,1.10
987891,9th Mar 2019,SOU,2,2.09,1,1.29
987891,9th Mar 2019,TOT,1,1.29,2,2.09
987892,16th Mar 2019,BOU,2,1.32,2,1.12
987892,16th Mar 2019,NEW,2,1.12,2,1.32
987893,16th Apr 2019,BHA,0,0.64,2,0.89
987893,16th Apr 2019,CAR,2,0.89,0,0.64
987894,16th Mar 2019,BUR,1,1.06,2,0.90
987894,16th Mar 2019,LEI,2,0.90,1,1.06
987895,17th Mar 2019,CHE,0,1.48,2,2.30
987895,17th Mar 2019,EVE,2,2.30,0,1.48
987896,17th Mar 2019,FUL,1,1.10,2,2.62
987896,17th Mar 2019,LIV,2,2.62,1,1.10
987897,24th Apr 2019,MCI,2,0.52,0,0.50
987897,24th Apr 2019,MUN,0,0.50,2,0.52
987898,3rd Apr 2019,CRY,0,0.33,2,2.13
987898,3rd Apr 2019,TOT,2,2.13,0,0.33
987899,23rd Apr 2019,SOU,1,1.95,1,1.27
987899,23rd Apr 2019,WAT,1,1.27,1,1.95
987900,16th Mar 2019,HUD,3,1.33,4,1.78
987900,16th Mar 2019,WHU,4,1.78,3,1.33
987901,24th Apr 2019,ARS,1,0.78,3,1.22
987901,24th Apr 2019,WOL,3,1.22,1,0.78
987902,1st Apr 2019,ARS,2,0.81,0,0.10
987902,1st Apr 2019,NEW,0,0.10,2,0.81
987903,30th Mar 2019,BHA,0,0.70,1,0.72
987903,30th Mar 2019,SOU,1,0.72,0,0.70
987904,30th Mar 2019,BUR,2,0.55,0,0.53
987904,30th Mar 2019,WOL,0,0.53,2,0.55
987905,31st Mar 2019,CAR,1,0.50,2,1.86
987905,31st Mar 2019,CHE,2,1.86,1,0.50
987906,30th Mar 2019,CRY,2,2.73,0,1.06
987906,30th Mar 2019,HUD,0,1.06,2,2.73
987907,30th Mar 2019,FUL,0,0.47,2,1.78
987907,30th Mar 2019,MCI,2,1.78,0,0.47
987908,30th Mar 2019,BOU,0,0.80,2,1.35
987908,30th Mar 2019,LEI,2,1.35,0,0.80
987909,31st Mar 2019,LIV,2,1.05,1,0.75
987909,31st Mar 2019,TOT,1,0.75,2,1.05
987910,30th Mar 2019,MUN,2,1.62,1,1.47
987910,30th Mar 2019,WAT,1,1.47,2,1.62
987911,30th Mar 2019,EVE,2,1.82,0,0.10
987911,30th Mar 2019,WHU,0,0.10,2,1.82
987912,6th Apr 2019,BOU,1,1.14,3,1.25
987912,6th Apr 2019,BUR,3,1.25,1,1.14
987913,8th Apr 2019,CHE,2,1.89,0,0.61
987913,8th Apr 2019,WHU,0,0.61,2,1.89
987914,7th Apr 2019,ARS,0,0.35,1,2.45
987914,7th Apr 2019,EVE,1,2.45,0,0.35
987915,6th Apr 2019,HUD,1,1.66,4,3.50
987915,6th Apr 2019,LEI,4,3.50,1,1.66
987916,3rd Apr 2019,CAR,0,0.15,2,3.20
987916,3rd Apr 2019,MCI,2,3.20,0,0.15
987917,6th Apr 2019,CRY,1,0.92,0,0.93
987917,6th Apr 2019,NEW,0,0.93,1,0.92
987918,5th Apr 2019,LIV,3,1.87,1,0.89
987918,5th Apr 2019,SOU,1,0.89,3,1.87
987919,23rd Apr 2019,BHA,0,0.31,1,1.35
987919,23rd Apr 2019,TOT,1,1.35,0,0.31
987920,2nd Apr 2019,FUL,1,1.69,4,1.23
987920,2nd Apr 2019,WAT,4,1.23,1,1.69
987921,2nd Apr 2019,MUN,1,1.88,2,1.84
987921,2nd Apr 2019,WOL,2,1.84,1,1.88
987922,13th Apr 2019,BOU,5,2.47,0,0.29
987922,13th Apr 2019,BHA,0,0.29,5,2.47
987923,13th Apr 2019,BUR,2,2.68,0,0.90
987923,13th Apr 2019,CAR,0,0.90,2,2.68
987924,14th Apr 2019,CRY,1,0.36,3,2.55
987924,14th Apr 2019,MCI,3,2.55,1,0.36
987925,13th Apr 2019,EVE,0,1.05,2,1.54
987925,13th Apr 2019,FUL,2,1.54,0,1.05
987926,12th Apr 2019,LEI,0,1.01,1,1.12
987926,12th Apr 2019,NEW,1,1.12,0,1.01
987927,14th Apr 2019,CHE,0,0.73,2,1.22
987927,14th Apr 2019,LIV,2,1.22,0,0.73
987928,13th Apr 2019,MUN,2,2.47,1,1.41
987928,13th Apr 2019,WHU,1,1.41,2,2.47
987929,13th Apr 2019,SOU,3,2.91,1,0.76
987929,13th Apr 2019,WOL,1,0.76,3,2.91
987930,13th Apr 2019,HUD,0,0.78,4,2.52
987930,13th Apr 2019,TOT,4,2.52,0,0.78
987931,15th Apr 2019,ARS,1,2.40,0,0.95
987931,15th Apr 2019,WAT,0,0.95,1,2.40
987932,20th Apr 2019,BOU,0,2.30,1,2.55
987932,20th Apr 2019,FUL,1,2.55,0,2.30
987933,21st Apr 2019,ARS,2,1.25,3,1.61
987933,21st Apr 2019,CRY,3,1.61,2,1.25
987934,21st Apr 2019,CAR,0,1.15,2,3.00
987934,21st Apr 2019,LIV,2,3.00,0,1.15
987935,22nd Apr 2019,BUR,2,0.70,2,1.34
987935,22nd Apr 2019,CHE,2,1.34,2,0.70
987936,21st Apr 2019,EVE,4,1.58,0,0.34
987936,21st Apr 2019,MUN,0,0.34,4,1.58
987937,20th Apr 2019,HUD,1,1.02,2,0.89
